,wavelength,transmission
0,330,2.2139654306140253e-09
1,331,2.3180070257442113e-09
2,332,1.2790110720254327e-09
3,333,4.123163068080959e-09
4,334,8.607510530301716e-09
5,335,3.1188858548038333e-09
6,336,2.4878702731117132e-08
7,337,2.0793734626474407e-07
8,338,2.2009354851509316e-07
9,339,5.4478548345196197e-08
10,340,4.8861706831598925e-08
11,341,3.078821769886682e-08
12,342,3.316350395110146e-08
13,343,4.5584384576712146e-08
14,344,1.6119956196965042e-08
15,345,2.873330157393956e-09
16,346,0.0
17,347,0.0
18,348,0.0
19,349,0.0
20,350,0.0
21,351,0.0
22,352,1.2987076924437884e-08
23,353,0.0
24,354,0.0
25,355,0.0
26,356,0.0
27,357,0.0
28,358,0.0
29,359,1.2972010963526375e-08
30,360,0.0
31,361,0.0
32,362,0.0
33,363,0.0
34,364,0.0
35,365,0.0
36,366,0.0
37,367,0.0
38,368,0.0
39,369,0.0
40,370,2.3222373320553466e-08
41,371,3.650309751888093e-08
42,372,2.6777787366641243e-07
43,373,1.868202758945789e-07
44,374,1.3945655735444586e-08
45,375,1.4556945963841441e-08
46,376,5.690671178967985e-06
47,377,2.686022552002447e-07
48,378,6.571710656071051e-08
49,379,8.874079462651172e-07
50,380,3.5432495016118254e-08
51,381,3.670714008032129e-08
52,382,3.413669730368811e-07
53,383,3.916560156085858e-08
54,384,1.818348831771118e-07
55,385,2.082998962095829e-08
56,386,8.584768901758508e-08
57,387,0.0
58,388,0.0
59,389,0.0
60,390,0.0
61,391,2.4703660866051597e-07
62,392,9.0989826832352e-07
63,393,3.3607052661533933e-07
64,394,2.9077645418894575e-07
65,395,1.0809150723337266e-07
66,396,5.1644754614080235e-06
67,397,5.643446970047619e-08
68,398,5.764897062571611e-08
69,399,1.1774705849037371e-07
70,400,2.1038405414404308e-07
71,401,0.00010028261237472486
72,402,2.079668476050967e-06
73,403,7.877191810002863e-07
74,404,1.279235351926151e-07
75,405,2.27193103308942e-07
76,406,5.598747889070249e-07
77,407,1.0359306032489223e-06
78,408,4.08511085201013e-05
79,409,1.7366076641006864e-05
80,410,3.243565711579449e-06
81,411,5.659444118053141e-07
82,412,6.468816151652526e-07
83,413,2.920653170310481e-07
84,414,1.1124719563252702e-07
85,415,1.1298126893166303e-07
